ts,stage,generation,candidate,VmRSS_kB,VmHWM_kB,gpu_current_B,gpu_peak_B,extra
1765795558.929,candidate_start,0,1,866852,866852,,,
1765795559.178,subprocess_start,0,1,866912,866912,,,{"params":{"use_log1p_features":["typical_price"],"window_size":90,"positional_encoding":true,"encoder_conv_layers":4,"encoder_base_filters":43,"encoder_lstm_units":32,"horizon_embedding_dim":28,"horizon_attn_key_dim":30}}
1765795561.814,before_preprocess,0,1,861972,861972,,,
1765795562.111,after_preprocess,0,1,872036,881484,,,
1765795562.111,before_build_model,0,1,872036,881484,,,
1765795562.230,after_build_model,0,1,876396,881484,,,
1765795562.230,before_fit,0,1,876396,881484,,,{"params":{"use_log1p_features":["typical_price"],"window_size":90,"positional_encoding":true,"encoder_conv_layers":4,"encoder_base_filters":43,"encoder_lstm_units":32,"horizon_embedding_dim":28,"horizon_attn_key_dim":30}}
1765795900.447,candidate_start,0,1,866972,866972,,,
1765795900.695,subprocess_start,0,1,867032,867032,,,{"params":{"use_log1p_features":["typical_price"],"window_size":30,"positional_encoding":false,"encoder_conv_layers":5,"encoder_base_filters":121,"encoder_lstm_units":13,"horizon_embedding_dim":22,"horizon_attn_key_dim":29}}
1765795903.262,before_preprocess,0,1,861596,861596,,,
1765795903.547,after_preprocess,0,1,871356,871356,,,
1765795903.548,before_build_model,0,1,871356,871356,,,
1765795903.664,after_build_model,0,1,875280,875280,,,
1765795903.665,before_fit,0,1,875280,875280,,,{"params":{"use_log1p_features":["typical_price"],"window_size":30,"positional_encoding":false,"encoder_conv_layers":5,"encoder_base_filters":121,"encoder_lstm_units":13,"horizon_embedding_dim":22,"horizon_attn_key_dim":29}}
1765796233.226,candidate_start,0,1,867116,867116,,,
1765796233.475,subprocess_start,0,1,867176,867176,,,{"params":{"use_log1p_features":null,"window_size":62,"positional_encoding":true,"encoder_conv_layers":1,"encoder_base_filters":14,"encoder_lstm_units":25,"horizon_embedding_dim":22,"horizon_attn_key_dim":30}}
1765796236.037,before_preprocess,0,1,861916,861916,,,
1765796236.319,after_preprocess,0,1,870768,870768,,,
1765796236.319,before_build_model,0,1,870768,870768,,,
1765796236.425,after_build_model,0,1,874476,874476,,,
1765796236.425,before_fit,0,1,874476,874476,,,{"params":{"use_log1p_features":null,"window_size":62,"positional_encoding":true,"encoder_conv_layers":1,"encoder_base_filters":14,"encoder_lstm_units":25,"horizon_embedding_dim":22,"horizon_attn_key_dim":30}}
1765797019.906,after_fit,0,1,1262356,1264608,,,
1765797021.258,subprocess_ok,0,1,867176,867176,,,{"fitness":0.004353316500782967,"naive_mae":0.004142631310969591}
1765797021.259,candidate_end,0,1,867176,867176,,,
1765797021.259,candidate_start,0,2,867176,867176,,,
1765797021.508,subprocess_start,0,2,867176,867176,,,{"params":{"use_log1p_features":["typical_price"],"window_size":40,"positional_encoding":false,"encoder_conv_layers":1,"encoder_base_filters":128,"encoder_lstm_units":31,"horizon_embedding_dim":23,"horizon_attn_key_dim":18}}
1765797024.194,before_preprocess,0,2,862424,862424,,,
1765797024.477,after_preprocess,0,2,869580,871440,,,
1765797024.477,before_build_model,0,2,869580,871440,,,
1765797024.578,after_build_model,0,2,873728,873728,,,
1765797024.578,before_fit,0,2,873728,873728,,,{"params":{"use_log1p_features":["typical_price"],"window_size":40,"positional_encoding":false,"encoder_conv_layers":1,"encoder_base_filters":128,"encoder_lstm_units":31,"horizon_embedding_dim":23,"horizon_attn_key_dim":18}}
1765797582.257,after_fit,0,2,1257012,1278456,,,
1765797583.620,subprocess_ok,0,2,867176,867176,,,{"fitness":0.0045405300334095955,"naive_mae":0.0041398839093744755}
1765797583.621,candidate_end,0,2,867176,867176,,,
1765797583.621,candidate_start,0,3,867176,867176,,,
1765797583.873,subprocess_start,0,3,867176,867176,,,{"params":{"use_log1p_features":null,"window_size":44,"positional_encoding":true,"encoder_conv_layers":1,"encoder_base_filters":95,"encoder_lstm_units":12,"horizon_embedding_dim":28,"horizon_attn_key_dim":13}}
1765797586.484,before_preprocess,0,3,861528,861528,,,
1765797586.769,after_preprocess,0,3,867696,867696,,,
1765797586.769,before_build_model,0,3,867696,867696,,,
1765797586.875,after_build_model,0,3,872568,872568,,,
1765797586.876,before_fit,0,3,872568,872568,,,{"params":{"use_log1p_features":null,"window_size":44,"positional_encoding":true,"encoder_conv_layers":1,"encoder_base_filters":95,"encoder_lstm_units":12,"horizon_embedding_dim":28,"horizon_attn_key_dim":13}}
1765798175.950,after_fit,0,3,1258372,1258372,,,
1765798177.376,subprocess_ok,0,3,867176,867176,,,{"fitness":0.00418876251205802,"naive_mae":0.004142466466873884}
1765798177.376,candidate_end,0,3,867176,867176,,,
1765798177.376,candidate_start,0,4,867176,867176,,,
1765798177.626,subprocess_start,0,4,867176,867176,,,{"params":{"use_log1p_features":["typical_price"],"window_size":34,"positional_encoding":true,"encoder_conv_layers":1,"encoder_base_filters":86,"encoder_lstm_units":32,"horizon_embedding_dim":9,"horizon_attn_key_dim":21}}
1765798180.225,before_preprocess,0,4,862132,862132,,,
1765798180.521,after_preprocess,0,4,868680,870820,,,
1765798180.522,before_build_model,0,4,868680,870820,,,
1765798180.630,after_build_model,0,4,873428,873428,,,
1765798180.630,before_fit,0,4,873428,873428,,,{"params":{"use_log1p_features":["typical_price"],"window_size":34,"positional_encoding":true,"encoder_conv_layers":1,"encoder_base_filters":86,"encoder_lstm_units":32,"horizon_embedding_dim":9,"horizon_attn_key_dim":21}}
1765798795.636,after_fit,0,4,1210576,1217724,,,
1765798796.987,subprocess_ok,0,4,867176,867176,,,{"fitness":0.004123744089156389,"naive_mae":0.004130474757403135}
1765798796.987,candidate_end,0,4,867176,867176,,,
1765798796.987,candidate_start,0,5,867176,867176,,,
1765798797.235,subprocess_start,0,5,867176,867176,,,{"params":{"use_log1p_features":["typical_price"],"window_size":53,"positional_encoding":true,"encoder_conv_layers":4,"encoder_base_filters":49,"encoder_lstm_units":15,"horizon_embedding_dim":24,"horizon_attn_key_dim":24}}
1765798799.849,before_preprocess,0,5,861752,861752,,,
1765798800.153,after_preprocess,0,5,871516,875092,,,
1765798800.153,before_build_model,0,5,871516,875092,,,
1765798800.271,after_build_model,0,5,875216,875216,,,
1765798800.272,before_fit,0,5,875216,875216,,,{"params":{"use_log1p_features":["typical_price"],"window_size":53,"positional_encoding":true,"encoder_conv_layers":4,"encoder_base_filters":49,"encoder_lstm_units":15,"horizon_embedding_dim":24,"horizon_attn_key_dim":24}}
1765799367.817,after_fit,0,5,1326480,1326480,,,
1765799369.233,subprocess_ok,0,5,867176,867176,,,{"fitness":0.004945837426930666,"naive_mae":0.004147745668888092}
1765799369.234,candidate_end,0,5,867176,867176,,,
1765799369.234,candidate_start,0,6,867176,867176,,,
1765799369.487,subprocess_start,0,6,867176,867176,,,{"params":{"use_log1p_features":null,"window_size":79,"positional_encoding":true,"encoder_conv_layers":5,"encoder_base_filters":62,"encoder_lstm_units":19,"horizon_embedding_dim":14,"horizon_attn_key_dim":28}}
1765799372.088,before_preprocess,0,6,862136,862136,,,
1765799372.382,after_preprocess,0,6,869452,870772,,,
1765799372.382,before_build_model,0,6,869452,870772,,,
1765799372.514,after_build_model,0,6,875076,875076,,,
1765799372.514,before_fit,0,6,875076,875076,,,{"params":{"use_log1p_features":null,"window_size":79,"positional_encoding":true,"encoder_conv_layers":5,"encoder_base_filters":62,"encoder_lstm_units":19,"horizon_embedding_dim":14,"horizon_attn_key_dim":28}}
1765800145.579,after_fit,0,6,1429388,1429388,,,
1765800147.021,subprocess_ok,0,6,867176,867176,,,{"fitness":0.005682974588125944,"naive_mae":0.004154837224632502}
1765800147.021,candidate_end,0,6,867176,867176,,,
1765800147.024,candidate_start,0,7,867176,867176,,,
1765800147.272,subprocess_start,0,7,867176,867176,,,{"params":{"use_log1p_features":null,"window_size":32,"positional_encoding":false,"encoder_conv_layers":1,"encoder_base_filters":31,"encoder_lstm_units":9,"horizon_embedding_dim":20,"horizon_attn_key_dim":25}}
1765800149.860,before_preprocess,0,7,862092,862092,,,
1765800150.149,after_preprocess,0,7,867696,867696,,,
1765800150.149,before_build_model,0,7,867696,867696,,,
1765800150.253,after_build_model,0,7,872156,872156,,,
1765800150.253,before_fit,0,7,872156,872156,,,{"params":{"use_log1p_features":null,"window_size":32,"positional_encoding":false,"encoder_conv_layers":1,"encoder_base_filters":31,"encoder_lstm_units":9,"horizon_embedding_dim":20,"horizon_attn_key_dim":25}}
1765800591.568,after_fit,0,7,1164240,1164240,,,
1765800592.926,subprocess_ok,0,7,867176,867176,,,{"fitness":0.004163187928497791,"naive_mae":0.004130146000534296}
1765800592.926,candidate_end,0,7,867176,867176,,,
1765800592.927,candidate_start,0,8,867176,867176,,,
1765800593.178,subprocess_start,0,8,867176,867176,,,{"params":{"use_log1p_features":["typical_price"],"window_size":73,"positional_encoding":true,"encoder_conv_layers":2,"encoder_base_filters":121,"encoder_lstm_units":14,"horizon_embedding_dim":13,"horizon_attn_key_dim":8}}
1765800595.835,before_preprocess,0,8,862396,862396,,,
1765800596.130,after_preprocess,0,8,870908,879060,,,
1765800596.130,before_build_model,0,8,870908,879060,,,
1765800596.242,after_build_model,0,8,875264,879060,,,
1765800596.242,before_fit,0,8,875264,879060,,,{"params":{"use_log1p_features":["typical_price"],"window_size":73,"positional_encoding":true,"encoder_conv_layers":2,"encoder_base_filters":121,"encoder_lstm_units":14,"horizon_embedding_dim":13,"horizon_attn_key_dim":8}}
1765801328.704,after_fit,0,8,1442572,1449544,,,
1765801330.088,subprocess_ok,0,8,867176,867176,,,{"fitness":0.004870303440839052,"naive_mae":0.004148248583078384}
1765801330.088,candidate_end,0,8,867176,867176,,,
1765801330.089,candidate_start,0,9,867176,867176,,,
1765801330.342,subprocess_start,0,9,867176,867176,,,{"params":{"use_log1p_features":["typical_price"],"window_size":37,"positional_encoding":false,"encoder_conv_layers":2,"encoder_base_filters":57,"encoder_lstm_units":9,"horizon_embedding_dim":14,"horizon_attn_key_dim":25}}
1765801333.088,before_preprocess,0,9,861588,861588,,,
1765801333.380,after_preprocess,0,9,868404,871024,,,
1765801333.380,before_build_model,0,9,868404,871024,,,
1765801333.492,after_build_model,0,9,872592,872592,,,
1765801333.492,before_fit,0,9,872592,872592,,,{"params":{"use_log1p_features":["typical_price"],"window_size":37,"positional_encoding":false,"encoder_conv_layers":2,"encoder_base_filters":57,"encoder_lstm_units":9,"horizon_embedding_dim":14,"horizon_attn_key_dim":25}}
1765801885.417,after_fit,0,9,1237648,1237648,,,
1765801886.788,subprocess_ok,0,9,867176,867176,,,{"fitness":0.005164342932403088,"naive_mae":0.004134213086217642}
1765801886.788,candidate_end,0,9,867176,867176,,,
1765801886.789,candidate_start,0,10,867176,867176,,,
1765801887.037,subprocess_start,0,10,867176,867176,,,{"params":{"use_log1p_features":null,"window_size":45,"positional_encoding":false,"encoder_conv_layers":1,"encoder_base_filters":78,"encoder_lstm_units":14,"horizon_embedding_dim":20,"horizon_attn_key_dim":21}}
1765801889.668,before_preprocess,0,10,862052,862052,,,
1765801889.949,after_preprocess,0,10,868900,868900,,,
1765801889.950,before_build_model,0,10,868900,868900,,,
1765801890.054,after_build_model,0,10,872856,872856,,,
1765801890.054,before_fit,0,10,872856,872856,,,{"params":{"use_log1p_features":null,"window_size":45,"positional_encoding":false,"encoder_conv_layers":1,"encoder_base_filters":78,"encoder_lstm_units":14,"horizon_embedding_dim":20,"horizon_attn_key_dim":21}}
1765802534.677,after_fit,0,10,1227716,1233148,,,
1765802536.017,subprocess_ok,0,10,867176,867176,,,{"fitness":0.004619277082383633,"naive_mae":0.004142071586102247}
1765802536.017,candidate_end,0,10,867176,867176,,,
1765802536.018,candidate_start,0,11,867176,867176,,,
1765802536.266,subprocess_start,0,11,867176,867176,,,{"params":{"use_log1p_features":["typical_price"],"window_size":78,"positional_encoding":true,"encoder_conv_layers":5,"encoder_base_filters":8,"encoder_lstm_units":22,"horizon_embedding_dim":31,"horizon_attn_key_dim":15}}
1765802538.846,before_preprocess,0,11,861848,861848,,,
1765802539.145,after_preprocess,0,11,871284,879320,,,
1765802539.145,before_build_model,0,11,871284,879320,,,
1765802539.262,after_build_model,0,11,875124,879320,,,
1765802539.262,before_fit,0,11,875124,879320,,,{"params":{"use_log1p_features":["typical_price"],"window_size":78,"positional_encoding":true,"encoder_conv_layers":5,"encoder_base_filters":8,"encoder_lstm_units":22,"horizon_embedding_dim":31,"horizon_attn_key_dim":15}}
1765803396.613,after_fit,0,11,1311916,1311916,,,
1765803398.027,subprocess_ok,0,11,867176,867176,,,{"fitness":0.004184895660728216,"naive_mae":0.0041539533995091915}
1765803398.027,candidate_end,0,11,867176,867176,,,
1765803398.029,candidate_start,0,12,867176,867176,,,
1765803398.280,subprocess_start,0,12,867176,867176,,,{"params":{"use_log1p_features":null,"window_size":85,"positional_encoding":false,"encoder_conv_layers":3,"encoder_base_filters":123,"encoder_lstm_units":12,"horizon_embedding_dim":11,"horizon_attn_key_dim":8}}
1765803400.914,before_preprocess,0,12,861532,861532,,,
1765803401.203,after_preprocess,0,12,869064,870216,,,
1765803401.203,before_build_model,0,12,869064,870216,,,
1765803401.314,after_build_model,0,12,874184,874184,,,
1765803401.314,before_fit,0,12,874184,874184,,,{"params":{"use_log1p_features":null,"window_size":85,"positional_encoding":false,"encoder_conv_layers":3,"encoder_base_filters":123,"encoder_lstm_units":12,"horizon_embedding_dim":11,"horizon_attn_key_dim":8}}
1765804078.728,after_fit,0,12,1510424,1510424,,,
1765804080.120,subprocess_ok,0,12,867176,867176,,,{"fitness":0.007274129427969456,"naive_mae":0.004159528762102127}
1765804080.120,candidate_end,0,12,867176,867176,,,
1765804080.121,candidate_start,0,13,867176,867176,,,
1765804080.358,subprocess_start,0,13,867176,867176,,,{"params":{"use_log1p_features":["typical_price"],"window_size":63,"positional_encoding":false,"encoder_conv_layers":1,"encoder_base_filters":27,"encoder_lstm_units":22,"horizon_embedding_dim":30,"horizon_attn_key_dim":10}}
1765804082.844,before_preprocess,0,13,862108,862108,,,
1765804083.139,after_preprocess,0,13,872704,876836,,,
1765804083.139,before_build_model,0,13,872704,876836,,,
1765804083.240,after_build_model,0,13,876168,876836,,,
1765804083.240,before_fit,0,13,876168,876836,,,{"params":{"use_log1p_features":["typical_price"],"window_size":63,"positional_encoding":false,"encoder_conv_layers":1,"encoder_base_filters":27,"encoder_lstm_units":22,"horizon_embedding_dim":30,"horizon_attn_key_dim":10}}
1765804562.634,after_fit,0,13,1177104,1177104,,,
1765804563.907,subprocess_ok,0,13,867176,867176,,,{"fitness":0.004634961020201445,"naive_mae":0.004142375662922859}
1765804563.907,candidate_end,0,13,867176,867176,,,
1765804563.908,candidate_start,0,14,867176,867176,,,
1765804564.145,subprocess_start,0,14,867176,867176,,,{"params":{"use_log1p_features":["typical_price"],"window_size":85,"positional_encoding":false,"encoder_conv_layers":4,"encoder_base_filters":99,"encoder_lstm_units":14,"horizon_embedding_dim":13,"horizon_attn_key_dim":16}}
1765804566.646,before_preprocess,0,14,861952,861952,,,
1765804566.955,after_preprocess,0,14,871576,880432,,,
1765804566.956,before_build_model,0,14,871576,880432,,,
1765804567.066,after_build_model,0,14,875284,880432,,,
1765804567.066,before_fit,0,14,875284,880432,,,{"params":{"use_log1p_features":["typical_price"],"window_size":85,"positional_encoding":false,"encoder_conv_layers":4,"encoder_base_filters":99,"encoder_lstm_units":14,"horizon_embedding_dim":13,"horizon_attn_key_dim":16}}
1765805085.483,after_fit,0,14,1483988,1483988,,,
1765805086.864,subprocess_ok,0,14,867176,867176,,,{"fitness":0.005629879422485828,"naive_mae":0.004159528762102127}
1765805086.865,candidate_end,0,14,867176,867176,,,
1765805086.865,candidate_start,0,15,867176,867176,,,
1765805087.102,subprocess_start,0,15,867176,867176,,,{"params":{"use_log1p_features":["typical_price"],"window_size":48,"positional_encoding":true,"encoder_conv_layers":1,"encoder_base_filters":26,"encoder_lstm_units":30,"horizon_embedding_dim":8,"horizon_attn_key_dim":28}}
1765805089.620,before_preprocess,0,15,861744,861744,,,
1765805089.899,after_preprocess,0,15,870544,873168,,,
1765805089.899,before_build_model,0,15,870544,873168,,,
1765805090.001,after_build_model,0,15,874240,874240,,,
1765805090.001,before_fit,0,15,874240,874240,,,{"params":{"use_log1p_features":["typical_price"],"window_size":48,"positional_encoding":true,"encoder_conv_layers":1,"encoder_base_filters":26,"encoder_lstm_units":30,"horizon_embedding_dim":8,"horizon_attn_key_dim":28}}
1765805907.991,after_fit,0,15,1216828,1235608,,,
1765805909.320,subprocess_ok,0,15,867176,867176,,,{"fitness":0.004173425491899252,"naive_mae":0.0041446564719080925}
1765805909.320,candidate_end,0,15,867176,867176,,,
1765805909.320,candidate_start,0,16,867176,867176,,,
1765805909.560,subprocess_start,0,16,867176,867176,,,{"params":{"use_log1p_features":null,"window_size":57,"positional_encoding":false,"encoder_conv_layers":1,"encoder_base_filters":101,"encoder_lstm_units":26,"horizon_embedding_dim":32,"horizon_attn_key_dim":27}}
1765805912.040,before_preprocess,0,16,861628,861628,,,
1765805912.320,after_preprocess,0,16,869592,869592,,,
1765805912.321,before_build_model,0,16,869592,869592,,,
1765805912.421,after_build_model,0,16,873120,873120,,,
1765805912.421,before_fit,0,16,873120,873120,,,{"params":{"use_log1p_features":null,"window_size":57,"positional_encoding":false,"encoder_conv_layers":1,"encoder_base_filters":101,"encoder_lstm_units":26,"horizon_embedding_dim":32,"horizon_attn_key_dim":27}}
1765806386.587,after_fit,0,16,1290312,1312968,,,
1765806387.923,subprocess_ok,0,16,867176,867176,,,{"fitness":0.005049951374530792,"naive_mae":0.004144563339650631}
1765806387.923,candidate_end,0,16,867176,867176,,,
1765806387.923,candidate_start,0,17,867176,867176,,,
1765806388.166,subprocess_start,0,17,867176,867176,,,{"params":{"use_log1p_features":null,"window_size":32,"positional_encoding":true,"encoder_conv_layers":3,"encoder_base_filters":33,"encoder_lstm_units":11,"horizon_embedding_dim":19,"horizon_attn_key_dim":8}}
1765806390.645,before_preprocess,0,17,862008,862008,,,
1765806390.930,after_preprocess,0,17,867420,867420,,,
1765806390.930,before_build_model,0,17,867420,867420,,,
1765806391.038,after_build_model,0,17,872836,872836,,,
1765806391.038,before_fit,0,17,872836,872836,,,{"params":{"use_log1p_features":null,"window_size":32,"positional_encoding":true,"encoder_conv_layers":3,"encoder_base_filters":33,"encoder_lstm_units":11,"horizon_embedding_dim":19,"horizon_attn_key_dim":8}}
1765806867.370,after_fit,0,17,1239844,1239844,,,
1765806868.736,subprocess_ok,0,17,867176,867176,,,{"fitness":0.004345059394836426,"naive_mae":0.004130146000534296}
1765806868.736,candidate_end,0,17,867176,867176,,,
1765806868.750,candidate_start,0,18,867176,867176,,,
1765806868.998,subprocess_start,0,18,867176,867176,,,{"params":{"use_log1p_features":null,"window_size":80,"positional_encoding":true,"encoder_conv_layers":5,"encoder_base_filters":44,"encoder_lstm_units":13,"horizon_embedding_dim":24,"horizon_attn_key_dim":9}}
1765806871.473,before_preprocess,0,18,861680,861680,,,
1765806871.753,after_preprocess,0,18,868892,870192,,,
1765806871.753,before_build_model,0,18,868892,870192,,,
1765806871.868,after_build_model,0,18,874708,874708,,,
1765806871.868,before_fit,0,18,874708,874708,,,{"params":{"use_log1p_features":null,"window_size":80,"positional_encoding":true,"encoder_conv_layers":5,"encoder_base_filters":44,"encoder_lstm_units":13,"horizon_embedding_dim":24,"horizon_attn_key_dim":9}}
1765807403.805,after_fit,0,18,1385588,1385588,,,
1765807405.182,subprocess_ok,0,18,867176,867176,,,{"fitness":0.0045862216502428055,"naive_mae":0.004154898226261139}
1765807405.183,candidate_end,0,18,867176,867176,,,
1765807405.185,candidate_start,0,19,867176,867176,,,
1765807405.429,subprocess_start,0,19,867176,867176,,,{"params":{"use_log1p_features":["typical_price"],"window_size":24,"positional_encoding":true,"encoder_conv_layers":5,"encoder_base_filters":9,"encoder_lstm_units":9,"horizon_embedding_dim":16,"horizon_attn_key_dim":31}}
1765807407.908,before_preprocess,0,19,862044,862044,,,
1765807408.189,after_preprocess,0,19,869980,869980,,,
1765807408.189,before_build_model,0,19,869980,869980,,,
1765807408.301,after_build_model,0,19,873700,873700,,,
